date,sleep_hours,hydration_liters,stress,activity_steps,caffeine,headache
2026-07-29,6.67,2.08,4.4,4515,1.6,0
2026-07-30,7.1,2.03,5.6,3933,2.4,0
2026-07-31,4.81,1.43,4.7,6900,1.6,0
2026-08-01,6.76,2.18,5.2,7691,2.3,0
2026-08-02,7.39,2.28,6.2,6941,4.1,0
2026-08-03,8.63,2.54,3.4,3278,2.9,0
2026-08-04,6.43,2.53,9.2,6839,1.7,0
2026-08-05,6.11,1.31,3.0,4651,3.2,0
2026-08-06,6.45,1.53,2.6,8205,1.6,0
2026-08-07,8.01,2.26,7.3,7659,0.0,0
2026-08-08,7.36,2.26,6.6,5308,1.0,1
2026-08-09,6.42,2.26,6.2,6075,0.1,0
2026-08-10,7.56,3.5,6.3,5093,1.6,0
2026-08-11,7.11,2.29,5.0,6887,2.0,0
2026-08-12,8.07,2.57,3.2,8719,3.7,0
2026-08-13,6.23,2.48,5.2,5225,2.3,0
2026-08-14,6.64,2.33,3.6,7907,1.8,1
2026-08-15,6.57,1.84,7.0,6045,2.8,0
2026-08-16,5.39,2.38,4.7,5572,0.0,0
2026-08-17,7.33,1.61,3.3,6807,2.2,0
2026-08-18,7.29,1.88,4.4,5136,2.8,0
2026-08-19,7.01,1.76,5.8,6003,0.5,0
2026-08-20,6.74,2.04,3.9,4843,3.1,0
2026-08-21,5.44,3.16,3.4,10536,2.3,0
2026-08-22,6.54,1.07,5.5,7063,1.6,0
2026-08-23,6.62,2.34,5.5,5740,2.6,0
2026-08-24,6.12,1.19,4.0,7385,4.3,0
2026-08-25,6.82,1.76,4.1,6797,2.2,1
2026-08-26,7.44,2.54,5.5,6602,2.2,0
2026-08-27,9.0,2.03,2.1,8105,1.5,0
2026-08-28,7.19,1.46,2.2,8363,1.2,1
2026-08-29,7.28,1.64,3.6,6045,2.8,0
2026-08-30,6.92,2.34,4.6,5963,1.1,0
2026-08-31,4.89,1.63,5.6,6504,2.1,1
2026-09-01,6.97,2.11,8.0,2856,1.5,0
2026-09-02,7.07,2.02,6.7,4272,2.5,1
2026-09-03,9.0,1.67,4.7,9460,2.3,0
2026-09-04,6.79,3.07,5.0,9960,3.0,0
2026-09-05,7.33,2.32,3.0,6551,1.5,0
2026-09-06,6.96,0.99,5.0,8037,1.7,0
2026-09-07,5.71,2.09,4.4,7560,1.0,0
2026-09-08,8.26,1.67,5.6,12000,1.6,0
2026-09-09,7.83,2.43,3.3,9015,2.4,0
